year,geography,metric,unit,vector,value,decimals
1998,"Saskatoon, Saskatchewan",Youth non-violent crime severity index,Index,v53079686,,2
1998,"Saskatoon, Saskatchewan",Weighted clearance rate,Number,v53079687,33.68,2
1998,"Saskatoon, Saskatchewan",Violent weighted clearance rate,Number,v53079689,40.9,2
1998,"Saskatoon, Saskatchewan",Non-violent weighted clearance rate,Number,v53079691,31.11,2
1998,"Saskatoon, Saskatchewan",Percent change in non-violent weighted clearance rate,Percent,v53079692,,2
1998,Alberta,Crime severity index,Index,v44312653,122.5,2
1998,Alberta,Violent crime severity index,Index,v44312655,98.36,2
1998,Alberta,Non-violent crime severity index,Index,v44312657,131.78,2
1998,Alberta,Youth crime severity index,Index,v53079704,128.14,2
1998,Alberta,Youth violent crime severity index,Index,v53079706,95.14,2
1998,Alberta,Youth non-violent crime severity index,Index,v53079696,153.28,2
1998,Alberta,Weighted clearance rate,Number,v53079698,40.89,2
1998,Alberta,Violent weighted clearance rate,Number,v53079700,61.74,2
1998,Alberta,Non-violent weighted clearance rate,Number,v53079702,34.91,2
1998,Alberta,Percent change in non-violent weighted clearance rate,Percent,v53079703,,2
1998,"Calgary, Alberta",Crime severity index,Index,v44312659,116.48,2
1998,"Calgary, Alberta",Violent crime severity index,Index,v44312661,89.44,2
1998,"Calgary, Alberta",Non-violent crime severity index,Index,v44312663,126.87,2
1998,"Calgary, Alberta",Youth crime severity index,Index,v53079714,,2
1998,"Calgary, Alberta",Youth violent crime severity index,Index,v53079715,,2
1998,"Calgary, Alberta",Youth non-violent crime severity index,Index,v53079707,,2
1998,"Calgary, Alberta",Weighted clearance rate,Number,v53079708,31.95,2
1998,"Calgary, Alberta",Violent weighted clearance rate,Number,v53079710,57.92,2
1998,"Calgary, Alberta",Non-violent weighted clearance rate,Number,v53079712,24.92,2
1998,"Calgary, Alberta",Percent change in non-violent weighted clearance rate,Percent,v53079713,,2
1998,"Edmonton, Alberta",Crime severity index,Index,v44312665,126.76,2
1998,"Edmonton, Alberta",Violent crime severity index,Index,v44312667,115.93,2
1998,"Edmonton, Alberta",Non-violent crime severity index,Index,v44312669,130.93,2
1998,"Edmonton, Alberta",Youth crime severity index,Index,v53079723,,2
1998,"Edmonton, Alberta",Youth violent crime severity index,Index,v53079724,,2
1998,"Edmonton, Alberta",Youth non-violent crime severity index,Index,v53079716,,2
1998,"Edmonton, Alberta",Weighted clearance rate,Number,v53079717,37.89,2
1998,"Edmonton, Alberta",Violent weighted clearance rate,Number,v53079719,51.8,2
1998,"Edmonton, Alberta",Non-violent weighted clearance rate,Number,v53079721,33.15,2
1998,"Edmonton, Alberta",Percent change in non-violent weighted clearance rate,Percent,v53079722,,2
1998,British Columbia,Crime severity index,Index,v44312671,166.91,2
1998,British Columbia,Violent crime severity index,Index,v44312673,132.47,2
1998,British Columbia,Non-violent crime severity index,Index,v44312675,180.16,2
1998,British Columbia,Youth crime severity index,Index,v53079734,122.68,2
1998,British Columbia,Youth violent crime severity index,Index,v53079736,95.04,2
1998,British Columbia,Youth non-violent crime severity index,Index,v53079726,143.74,2
1998,British Columbia,Weighted clearance rate,Number,v53079728,27.88,2
